NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,TP_SEXO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,COMPUTADOR,INTERNET
19,Soteiro(a),Parda,M,Inglês,27215830,Palmeira dos Indios,AL,531.7,543.9,592.3,591.6,620,575.9,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27014010,Palmeira dos Indios,AL,493.1,492.4,546.9,486.9,800,563.86,Não,Não
20,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,523.9,540.8,586.3,549.1,660,572.02,"Sim, um",Sim
18,Não dec,Parda,M,ESpanhol,27226239,Coruripe,AL,407.1,413.5,376.9,381.9,580,431.88,Não,Não
18,Soteiro(a),Preta,F,ESpanhol,27226328,Coruripe,AL,420.9,462.8,522,457.8,700,512.7,Não,Sim
17,Soteiro(a),Parda,F,ESpanhol,27013901,Palmeira dos Indios,AL,590.5,637,601.5,623.7,940,678.54,"Sim, dois",Sim
18,Soteiro(a),Parda,M,Inglês,27042251,Coruripe,AL,373,491.1,482.1,448.8,600,479,Não,Sim
17,Soteiro(a),Branca,F,ESpanhol,27014053,Palmeira dos Indios,AL,548.7,574.1,575.1,659.4,880,647.46,"Sim, dois",Sim
17,Soteiro(a),Branca,F,ESpanhol,27045145,Penedo,AL,390.6,425.1,401.2,435.4,460,422.46,Não,Sim
18,Soteiro(a),Indigena,M,Inglês,27215830,Palmeira dos Indios,AL,572.2,662.9,594.6,689.9,740,651.92,"Sim, um",Sim
17,Soteiro(a),Branca,M,Inglês,27047830,Penedo,AL,451.2,520.1,516.2,640,840,593.5,Não,Sim
17,Soteiro(a),Parda,F,Inglês,27050572,Coruripe,AL,562.7,607.2,557.7,636.4,860,644.8,"Sim, dois",Sim
18,Soteiro(a),Branca,M,ESpanhol,27215830,Palmeira dos Indios,AL,631.5,647.3,645.4,761.8,780,693.2,Não,Não
19,Soteiro(a),Parda,F,Inglês,27215830,Palmeira dos Indios,AL,519.1,626.3,556.4,474.5,800,595.26,"Sim, um",Sim
18,Soteiro(a),Amarela,F,ESpanhol,27215830,Palmeira dos Indios,AL,586.9,665.1,573.6,756.6,940,704.44,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27045145,Penedo,AL,377.4,443,495.5,419,600,466.98,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27226328,Coruripe,AL,417,486.5,484.5,551.8,720,531.96,Não,Não
18,Soteiro(a),Amarela,F,Inglês,27045145,Penedo,AL,452,513,545.7,407.3,580,499.6,Não,Sim
17,Soteiro(a),Preta,M,ESpanhol,27045145,Penedo,AL,503,557.4,506.1,464.2,640,534.14,Não,Sim
18,Soteiro(a),Preta,F,ESpanhol,27045145,Penedo,AL,369.3,500.5,512.2,525.6,540,489.52,Não,Não
17,Soteiro(a),Parda,M,Inglês,27050572,Coruripe,AL,592,595.4,589.7,781.4,940,699.7,"Sim, um",Sim
18,Soteiro(a),Branca,M,ESpanhol,27013928,Palmeira dos Indios,AL,447.1,635.1,619.6,483.7,780,593.1,"Sim, um",Sim
18,Soteiro(a),Amarela,M,Inglês,27215830,Palmeira dos Indios,AL,517.5,600.7,568.3,502.8,600,557.86,Não,Não
18,Soteiro(a),Preta,F,ESpanhol,27042251,Coruripe,AL,386.3,351.1,413.5,414.7,420,397.12,Não,Sim
18,Soteiro(a),Amarela,F,Inglês,27050572,Coruripe,AL,499.8,582.5,575,580.3,880,623.52,Não,Sim
17,Soteiro(a),Parda,F,ESpanhol,27014029,Palmeira dos Indios,AL,423.3,419.3,461.7,476.1,580,472.08,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27226239,Coruripe,AL,386.4,424.4,491.9,538.3,640,496.2,Não,Não
19,Soteiro(a),Parda,F,Inglês,27014959,Palmeira dos Indios,AL,413.7,387.8,437.8,509.2,500,449.7,Não,Sim
17,Soteiro(a),Branca,F,ESpanhol,27045552,Penedo,AL,470.7,492.6,480.6,464.3,460,473.64,Não,Sim
20,Soteiro(a),Branca,M,Inglês,27014010,Palmeira dos Indios,AL,463,392.4,386.1,406,360,401.5,Não,Sim
19,Soteiro(a),Parda,F,Inglês,27045234,Penedo,AL,404.9,485.8,510.2,490.6,540,486.3,Não,Sim
19,Soteiro(a),Parda,F,Inglês,27050572,Coruripe,AL,615,642.9,624,714,920,703.18,"Sim, um",Sim
18,Soteiro(a),Branca,F,Inglês,27014002,Palmeira dos Indios,AL,514.7,536.7,503.4,518.1,580,530.58,Não,Não
21,Soteiro(a),Parda,M,ESpanhol,27047830,Penedo,AL,427.2,413,463,543.2,640,497.28,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,620.4,596.6,568.3,591.7,720,619.4,"Sim, um",Sim
17,Soteiro(a),Branca,F,Inglês,27042251,Coruripe,AL,421.6,423.3,497.2,384.2,620,469.26,Não,Não
18,Soteiro(a),Não dec,F,ESpanhol,27215830,Palmeira dos Indios,AL,486.6,504.9,512.9,516.3,600,524.14,"Sim, um",Sim
18,Soteiro(a),Preta,M,ESpanhol,27014959,Palmeira dos Indios,AL,437.7,413.1,338.9,401.8,560,430.3,Não,Sim
18,Soteiro(a),Parda,F,Inglês,27014029,Palmeira dos Indios,AL,378.5,496.3,366.4,487,480,441.64,"Sim, um",Sim
18,Soteiro(a),Branca,F,Inglês,27215830,Palmeira dos Indios,AL,629.6,658.4,626.7,740,900,710.94,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27014029,Palmeira dos Indios,AL,411.6,623.2,527.7,410.2,600,514.54,Não,Não
17,Soteiro(a),Parda,M,ESpanhol,27220923,Palmeira dos Indios,AL,562.7,534.6,471.9,509.9,860,587.82,Não,Sim
18,Soteiro(a),Parda,M,Inglês,27014010,Palmeira dos Indios,AL,465.2,417.9,491.6,458.1,300,426.56,Não,Sim
18,Soteiro(a),Parda,M,Inglês,27042251,Coruripe,AL,414.8,481.1,504.4,457.9,480,467.64,"Sim, um",Sim
17,Soteiro(a),Parda,M,Inglês,27014010,Palmeira dos Indios,AL,426.9,513.4,528.8,453.4,820,548.5,Não,Sim
19,Soteiro(a),Preta,M,Inglês,27014029,Palmeira dos Indios,AL,419.2,469.6,509.7,395.9,400,438.88,"Sim, um",Sim
18,Soteiro(a),Preta,M,Inglês,27047830,Penedo,AL,604,618.2,660.2,753.9,920,711.26,"Sim, um",Sim
17,Soteiro(a),Parda,F,Inglês,27045145,Penedo,AL,392.6,447.6,499.9,583.9,580,500.8,Não,Sim
18,Soteiro(a),Amarela,M,ESpanhol,27045552,Penedo,AL,485.5,545,584,609.1,600,564.72,"Sim, um",Sim
20,Soteiro(a),Parda,M,ESpanhol,27047830,Penedo,AL,605.8,627.4,542.5,477.6,680,586.66,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27220923,Palmeira dos Indios,AL,453.3,354.2,425.1,565.8,720,503.68,Não,Sim
18,Soteiro(a),Preta,F,Inglês,27013928,Palmeira dos Indios,AL,451.5,409,474,370.7,620,465.04,Não,Sim
17,Soteiro(a),Amarela,F,ESpanhol,27045145,Penedo,AL,454.9,561.6,584,569.5,780,590,Não,Sim
17,Não dec,Parda,M,ESpanhol,27045234,Penedo,AL,405.4,443.4,512,496.2,440,459.4,Não,Sim
18,Soteiro(a),Branca,F,ESpanhol,27045552,Penedo,AL,343.2,477.5,433.8,387.3,500,428.36,Não,Não
18,Soteiro(a),Branca,M,Inglês,27226328,Coruripe,AL,463.2,395.6,515.7,409.5,480,452.8,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27226166,Penedo,AL,366.7,463.2,401.8,426.9,640,459.72,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27045200,Penedo,AL,354.6,395.9,361.8,437.4,460,401.94,Não,Não
17,Soteiro(a),Parda,F,Inglês,27226328,Coruripe,AL,494.4,542.2,509.3,494.5,680,544.08,Não,Sim
20,Soteiro(a),Branca,F,ESpanhol,27014029,Palmeira dos Indios,AL,430.9,525.5,529.4,454.2,560,500,Não,Sim
19,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,410.1,433.6,438.8,456.1,820,511.72,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27220923,Palmeira dos Indios,AL,434.3,554.2,568.2,613.5,700,574.04,"Sim, um",Sim
19,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,477.6,425.7,436.1,440.4,460,447.96,Não,Não
17,Soteiro(a),Preta,M,ESpanhol,27045234,Penedo,AL,337.8,416.5,473.4,511.3,480,443.8,"Sim, um",Sim
